9;Вода негазированная 0.5 л;Питьевая вода негазированная 0.5 л;50.0;10
10;Вода газированная 0.5 л;Питьевая вода газированная 0.5 л;55.0;10
11;Кола 0.5 л;Газированный напиток со вкусом колы 0.5 л;80.0;8
12;Апельсиновый сок 0.33 л;Сок апельсиновый 0.33 л;90.0;6
13;Яблочный сок 0.33 л;Сок яблочный 0.33 л;85.0;6
14;Холодный чай лимон 0.5 л;Чайный напиток с лимоном 0.5 л;95.0;6
15;Энергетик 0.45 л;Энергетический газированный напиток 0.45 л;150.0;5
16;Чипсы картофельные;Картофельные чипсы солёные 50 г;110.0;7
17;Сухарики ржаные;Ржаные сухарики со вкусом чеснока 40 г;70.0;7
18;Арахис солёный;Арахис жареный солёный 50 г;120.0;5
19;Шоколадный батончик;Шоколадный батончик с карамелью 50 г;90.0;8
20;Печенье овсяное;Овсяное печенье 60 г;85.0;6
21;Кофе;Кофейный напиток 200 мл;100.0;10
22;Капучино;Кофейный напиток с молоком 200 мл;120.0;10
23;Горячий шоколад;Шоколадный напиток 200 мл;130.0;8
24;Чай чёрный;Чайный напиток чёрный 200 мл;70.0;10
25;Чай зелёный;Чайный напиток зелёный 200 мл;75.0;10
