51;1;2024-04-25;Плановое обслуживание;Профилактика;3
52;2;2024-05-02;Чистка диспенсера;Загрязнение;3
53;3;2024-05-10;Замена лампы;Не работает подсветка;3
54;4;2024-05-18;Калибровка дозатора;Неточная выдача;3
55;5;2024-05-25;Проверка купюроприемника;Не принимает купюры;3
56;6;2024-06-01;Обновление ПО;Сбой интерфейса;3
57;7;2024-06-08;Чистка аппарата;Грязный аппарат;3
58;8;2024-06-15;Замена фильтра;Плохой вкус воды;3
59;9;2024-06-22;Ремонт диспенсера;Застревание стаканов;3
60;10;2024-06-30;Диагностика системы;Ошибка запуска;3
61;11;2024-07-07;Плановое обслуживание;Профилактика;3
62;12;2024-07-15;Настройка термостата;Не нагревает воду;3
63;13;2024-07-22;Замена насоса;Нет подачи воды;3
64;14;2024-07-30;Чистка кофемолки;Слабый помол;3
65;15;2024-08-06;Калибровка датчиков;Ошибка датчиков;3
66;16;2024-08-14;Обновление ПО;Зависание системы;3
67;17;2024-08-22;Чистка бойлера;Медленный нагрев;3
68;18;2024-08-30;Замена предохранителя;Не включается;3
69;19;2024-09-06;Ремонт купюроприемника;Застревание купюр;3
70;20;2024-09-14;Диагностика системы;Сбой оплаты;3
71;21;2024-09-22;Плановое обслуживание;Профилактика;3
72;22;2024-09-30;Замена лампы;Тусклый свет;3
73;23;2024-10-08;Чистка диспенсера;Грязная выдача;3
74;24;2024-10-16;Калибровка дозатора;Перелив;3
75;25;2024-10-24;Проверка питания;Перебои питания;3
76;26;2024-11-01;Обновление ПО;Ошибка меню;3
77;27;2024-11-09;Чистка аппарата;Запах;3
78;28;2024-11-17;Замена фильтра;Осадок в воде;3
79;29;2024-11-25;Ремонт диспенсера;Не выдает стакан;3
80;30;2024-12-03;Диагностика системы;Нестабильная работа;3
81;31;2024-12-11;Плановое обслуживание;Профилактика;3
82;32;2024-12-19;Настройка термостата;Перегрев;3
83;33;2025-01-10;Замена насоса;Шум при работе;3
84;34;2025-02-01;Чистка кофемолки;Неровный помол;3
85;35;2025-02-20;Калибровка датчиков;Ложные ошибки;3
86;36;2025-03-10;Обновление ПО;Сбой оплаты;3
87;37;2025-03-28;Чистка бойлера;Накипь;3
88;38;2025-04-15;Замена предохранителя;Выбивает защиту;3
89;39;2025-05-03;Ремонт купюроприемника;Не возвращает сдачу;3
90;40;2025-05-21;Диагностика системы;Ошибка связи;3
91;41;2025-06-08;Плановое обслуживание;Профилактика;3
92;42;2025-06-26;Чистка диспенсера;Загрязнение;3
93;43;2025-07-14;Замена лампы;Не работает подсветка;3
94;44;2025-08-01;Калибровка дозатора;Неточная выдача;3
95;45;2025-08-19;Проверка купюроприемника;Не принимает купюры;3
96;46;2025-09-06;Обновление ПО;Сбой интерфейса;3
97;47;2025-09-24;Чистка аппарата;Грязный аппарат;3
98;48;2025-10-12;Замена фильтра;Плохой вкус воды;3
99;49;2025-11-15;Ремонт диспенсера;Застревание стаканов;3
100;50;2025-12-19;Диагностика системы;Ошибка запуска;3
